time,frequency,value
0.00390625,0,20.188491912499536
0.25390625,0,26.930539965104806
0.50390625,0,29.213644997299678
0.75390625,0,21.094338054162133
1.00390625,0,8.353774875283822
1.25390625,0,-4.005011607169958
1.50390625,0,-13.77959066496491
1.75390625,0,-21.14652314177636
2.00390625,0,-26.867152252956448
2.25390625,0,-31.497345811068705
2.50390625,0,-35.37640025376625
2.75390625,0,-38.71414584427984
3.00390625,0,-41.6463822815193
3.25390625,0,-44.265018054892344
3.50390625,0,-46.63471706675972
0.00390625,2,-48.80250337336967
0.25390625,2,-50.803553362068136
0.50390625,2,-52.66482987374697
0.75390625,2,-54.40744283119039
1.00390625,2,-56.04823000427959
1.25390625,2,-57.60084433869572
1.50390625,2,-59.076519913196904
1.75390625,2,-60.484623125389476
2.00390625,2,-61.83305699254394
2.25390625,2,-63.12856288117979
2.50390625,2,-64.37694924519802
2.75390625,2,-65.58326752171232
3.00390625,2,-66.7519491637243
3.25390625,2,-67.88691367348078
3.50390625,2,-68.9916547031355
0.00390625,4,-70.06930935668507
0.25390625,4,-71.12271446745319
0.50390625,4,-72.15445265930832
0.75390625,4,-73.16689029924065
1.00390625,4,-74.16220892923474
1.25390625,4,-75.14243138825034
1.50390625,4,-76.10944353481271
1.75390625,4,-77.06501225833136
2.00390625,4,-78.01080028113716
2.25390625,4,-78.94837810034517
2.50390625,4,-79.87923328491532
2.75390625,4,-80.8047772109912
3.00390625,4,-81.72634918122401
3.25390625,4,-82.64521771702285
3.50390625,4,-83.5625786166961
0.00390625,6,-84.47954909229489
0.25390625,6,-85.39715691261668
0.50390625,6,-86.31632291456803
0.75390625,6,-87.23783432851776
1.00390625,6,-88.16230504535396
1.25390625,6,-89.09011679567192
1.50390625,6,-90.02133197361579
1.75390625,6,-90.95556376308423
2.00390625,6,-91.89178176129539
2.25390625,6,-92.82802048240455
2.50390625,6,-93.76094404764756
2.75390625,6,-94.68520511636191
3.00390625,6,-95.59252852456609
3.25390625,6,-96.47047360206608
3.50390625,6,-97.30093448173722
0.00390625,8,-98.05870770840725
0.25390625,8,-98.71095952239443
0.50390625,8,-99.2190268812904
0.75390625,8,-99.54402735563419
1.00390625,8,-3.2588587211017
1.25390625,8,12.331626529155539
1.50390625,8,25.28777199931879
1.75390625,8,29.635367127551014
2.00390625,8,23.759431888567516
2.25390625,8,10.697943061433746
2.50390625,8,-2.885659415799144
2.75390625,8,-14.169022938692784
3.00390625,8,-23.01239076498019
3.25390625,8,-30.100849071728497
3.50390625,8,-35.951509965984656
0.00390625,10,-40.83891222547181
0.25390625,10,-44.89243203687703
0.50390625,10,-48.18727977302498
0.75390625,10,-50.81183222019191
1.00390625,10,-52.89001438742542
1.25390625,10,-54.55994626722247
1.50390625,10,-55.94329886300379
1.75390625,10,-57.13102442767702
2.00390625,10,-58.18485438982121
2.25390625,10,-59.14480449482635
2.50390625,10,-60.03651330354225
2.75390625,10,-60.87658549204761
3.00390625,10,-61.67605103527886
3.25390625,10,-62.442496118563696
3.50390625,10,-63.181353916640084
0.00390625,12,-63.89668703684051
0.25390625,12,-64.59166695494932
0.50390625,12,-65.26887283555034
0.75390625,12,-65.9304818505011
1.00390625,12,-66.5783935496462
1.25390625,12,-67.2143136175334
1.50390625,12,-67.83981231086675
1.75390625,12,-68.45636696187633
2.00390625,12,-69.06539442933217
2.25390625,12,-69.66827728581804
2.50390625,12,-70.26638626279205
2.75390625,12,-70.86110071742266
3.00390625,12,-71.45382844828868
3.25390625,12,-72.04602594423625
3.50390625,12,-72.63922006087363
0.00390625,14,-73.23503214234678
0.25390625,14,-73.83520572161741
0.50390625,14,-74.44163917607655
0.75390625,14,-75.0564250764844
1.00390625,14,-75.681898526179907
1.25390625,14,-76.32069759464257
1.50390625,14,-76.97584015715408
1.75390625,14,-77.65082324536466
2.00390625,14,-78.34975373952997
2.25390625,14,-79.07752349505023
2.50390625,14,-79.84004874543372
2.75390625,14,-80.64460476422838
3.00390625,14,-81.50030558610277
3.25390625,14,-82.41881187881661
3.50390625,14,-83.41541128488024
0.00390625,16,-84.5107346503511
0.25390625,16,-85.7336178966063
0.50390625,16,-87.12616962755449
0.75390625,16,-88.75345828187989
1.00390625,16,-90.72400369876436
1.25390625,16,-93.23970067169648
1.50390625,16,-96.74635897689794
1.75390625,16,-102.5883633343375
2.00390625,16,-9.965494113298414
2.25390625,16,-3.196171106197826
2.50390625,16,9.79401987164124
2.75390625,16,22.878366500533932
3.00390625,16,29.56598644996901
3.25390625,16,25.93552264009869
3.50390625,16,13.349993178743064
0.00390625,18,-0.21455263307614578
0.25390625,18,-11.351545131381592
0.50390625,18,-19.678387345394096
0.75390625,18,-25.985297771263536
1.00390625,18,-30.96442029370618
1.25390625,18,-35.04857198514932
1.50390625,18,-38.502831995243234
1.75390625,18,-41.49573036363595
2.00390625,18,-44.13903982138435
2.25390625,18,-46.50977644923023
2.50390625,18,-48.662812119964315
2.75390625,18,-50.63840103899718
3.00390625,18,-52.46683982761211
3.25390625,18,-54.17144957389503
3.50390625,18,-55.77054134473249
0.00390625,20,-57.27874661911613
0.25390625,20,-58.70793973549027
0.50390625,20,-60.06789149861312
0.75390625,20,-61.366741475741186
1.00390625,20,-62.61134537995849
1.25390625,20,-63.807534689544134
1.50390625,20,-64.9603134771881
1.75390625,20,-66.07400954300797
2.00390625,20,-67.15239176586506
2.25390625,20,-68.19876208314868
2.50390625,20,-69.21602814419839
2.75390625,20,-70.20676100399358
3.00390625,20,-71.17324106695833
3.25390625,20,-72.11749462890903
3.50390625,20,-73.04132277322294
0.00390625,22,-73.94632387216478
0.25390625,22,-74.83391064310698
0.50390625,22,-75.70532236784584
0.75390625,22,-76.56163270459724
1.00390625,22,-77.40375328192832
1.25390625,22,-78.23243309116415
1.50390625,22,-79.04825353063767
1.75390625,22,-79.85161872810339
2.00390625,22,-80.64274064178142
2.25390625,22,-81.42161816083082
2.50390625,22,-82.18800930366987
2.75390625,22,-82.94139534090327
3.00390625,22,-83.68093562523059
3.25390625,22,-84.40541183557423
3.50390625,22,-85.11316068784984
0.00390625,24,-85.80199487268722
0.25390625,24,-86.46911364101942
0.50390625,24,-87.11100709888278
0.75390625,24,-87.72336297370018
1.00390625,24,-88.3009909906668
1.25390625,24,-88.83778849877503
1.50390625,24,-89.3267800351004
1.75390625,24,-89.7602697512443
2.00390625,24,-90.13014400527176
2.25390625,24,-90.42834417374999
2.50390625,24,-90.64749333106113
2.75390625,24,-90.78160717481347
3.00390625,24,-23.907604928015473
3.25390625,24,-15.571884306098735
3.50390625,24,-5.069206747285514
0.00390625,26,7.182487018929829
0.25390625,26,20.09235135760465
0.50390625,26,28.993023224655722
0.75390625,26,27.621856908212195
1.00390625,26,16.294125940954984
1.25390625,26,3.209100735529464
1.50390625,26,-7.846702819099029
1.75390625,26,-16.108672968219516
2.00390625,26,-22.32433420484012
2.25390625,26,-27.228566388255643
2.50390625,26,-31.268039179676283
2.75390625,26,-34.70427108748397
3.00390625,26,-37.69834267362515
3.25390625,26,-40.35541848282378
3.50390625,26,-42.747690351454224
0.00390625,28,-44.9267934542105
0.25390625,28,-46.9309195603767
0.50390625,28,-48.789110355575
0.75390625,28,-50.523968237148516
1.00390625,28,-52.15343504385254
1.25390625,28,-53.69199818350402
1.50390625,28,-55.15153189831729
1.75390625,28,-56.5418985509486
2.00390625,28,-57.8713876492267
2.25390625,28,-59.147042470645005
2.50390625,28,-60.37490715280175
2.75390625,28,-61.56021642761786
3.00390625,28,-62.70754330000166
3.25390625,28,-63.82091542200877
3.50390625,28,-64.90390785022626
0.00390625,30,-65.95971778160065
0.25390625,30,-66.99122537446935
0.50390625,30,-68.00104376287557
0.75390625,30,-68.99156056415245
1.00390625,30,-69.96497270618276
1.25390625,30,-70.92331593686625
1.50390625,30,-71.86849013494724
1.75390625,30,-72.80228125564854
2.00390625,30,-73.72638063387672
2.25390625,30,-74.64240212292674
2.50390625,30,-75.55189750153835
2.75390625,30,-76.45637032348831
3.00390625,30,-77.35728820163294
3.25390625,30,-78.25609320487521
3.50390625,30,-79.15420949796352
0.00390625,32,-80.05304647712153
0.25390625,32,-80.95399437478738
0.50390625,32,-81.85840683697526
0.75390625,32,-82.76756130864952
1.00390625,32,-83.68258173529306
1.25390625,32,-84.60429788247887
1.50390625,32,-85.53299906762469
1.75390625,32,-86.46801470640267
2.00390625,32,-87.40701630605025
2.25390625,32,-88.34488809772465
2.50390625,32,-89.27197382298267
2.75390625,32,-90.17154219302178
3.00390625,32,-91.0165938663429
3.25390625,32,-91.76697248272657
3.50390625,32,-92.36936472623186
0.00390625,34,-92.76430501041946
0.25390625,34,-23.69416541546293
0.50390625,34,-21.204266922769914
0.75390625,34,-15.345277337584315
1.00390625,34,-7.044932217292654
1.25390625,34,4.0605802880899535
1.50390625,34,17.017316679816005
1.75390625,34,27.932675781835194
2.00390625,34,28.796771228286282
2.25390625,34,19.386977230548574
2.50390625,34,6.491497010083346
2.75390625,34,-5.2851840154660925
3.00390625,34,-14.330372624244292
3.25390625,34,-21.132986485916938
3.50390625,34,-26.47368159795125
0.00390625,36,-30.85889410432493
0.25390625,36,-34.584468762081
0.50390625,36,-37.83008359720366
0.75390625,36,-40.71153512599121
1.00390625,36,-43.30757226610511
1.25390625,36,-45.6741977025687
1.50390625,36,-47.85272702062102
1.75390625,36,-49.87457982373806
2.00390625,36,-51.76426567271841
2.25390625,36,-53.54132245530715
2.50390625,36,-55.221619800028776
2.75390625,36,-56.81826273957233
3.00390625,36,-58.342235256641374
3.25390625,36,-59.80286961694965
